Date,CSBGC0.SW
2008-01-03,74.08959197998047
2008-01-04,73.88642120361328
2008-01-07,73.96134185791016
2008-01-08,73.74684143066406
2008-01-09,74.0771255493164
2008-01-10,73.93495178222656
2008-01-11,73.8510513305664
2008-01-14,74.08861541748047
2008-01-15,73.23384094238281
2008-01-16,73.5090103149414
2008-01-17,73.43660736083984
2008-01-18,73.3873062133789
2008-01-21,74.00358581542969
2008-01-22,73.71021270751953
2008-01-23,74.05622863769531
2008-01-24,73.63899230957031
2008-01-25,73.68717956542969
2008-01-28,73.6072006225586
2008-01-29,73.30615997314453
2008-01-30,73.13215637207031
2008-01-31,73.67298126220703
2008-02-01,73.82427215576172
2008-02-04,73.90764617919922
2008-02-05,74.39461517333984
2008-02-06,74.19357299804688
2008-02-07,74.0663070678711
2008-02-08,74.10454559326172
2008-02-11,74.08071899414062
2008-02-12,73.56155395507812
2008-02-13,73.50375366210938
2008-02-14,73.3120346069336
2008-02-15,73.38028717041016
2008-02-18,73.04766082763672
2008-02-19,73.00322723388672
2008-02-20,72.89457702636719
2008-02-21,72.95781707763672
2008-02-22,73.02863311767578
2008-02-25,72.69835662841797
2008-02-26,72.5056381225586
2008-02-27,72.1245346069336
2008-02-28,72.41693115234375
2008-02-29,72.84014892578125
2008-03-03,72.86489868164062
2008-03-04,73.06629943847656
2008-03-05,72.67569732666016
2008-03-06,72.63534545898438
2008-03-07,72.66143035888672
2008-03-10,72.81220245361328
2008-03-11,72.8169937133789
2008-03-12,73.04789733886719
2008-03-13,73.242919921875
2008-03-14,73.64396667480469
2008-03-17,74.0544662475586
2008-03-18,73.7354965209961
2008-03-19,73.8275146484375
2008-03-20,74.17093658447266
2008-03-25,73.72228240966797
2008-03-26,73.60411071777344
2008-03-27,73.32630157470703
2008-03-28,72.90044403076172
2008-03-31,73.07487487792969
2008-04-01,72.7585220336914
2008-04-02,72.72968292236328
2008-04-03,72.83338928222656
2008-04-04,73.07217407226562
2008-04-07,72.7627182006836
2008-04-08,72.63902282714844
2008-04-09,72.56272888183594
2008-04-10,72.80926513671875
2008-04-11,72.95789337158203
2008-04-14,72.83381652832031
2008-04-15,72.5213394165039
2008-04-16,72.2185287475586
2008-04-17,71.84408569335938
2008-04-18,71.42144775390625
2008-04-21,71.76424407958984
2008-04-22,71.8273696899414
2008-04-23,71.96852111816406
2008-04-24,71.82710266113281
2008-04-25,71.80888366699219
2008-04-28,71.51808166503906
2008-04-29,71.86612701416016
2008-04-30,72.04608154296875
2008-05-02,71.90685272216797
2008-05-05,72.15653991699219
2008-05-06,72.36457824707031
2008-05-07,72.05504608154297
2008-05-08,72.69667053222656
2008-05-09,72.92811584472656
2008-05-13,72.90866088867188
2008-05-14,72.54174041748047
2008-05-15,72.38323974609375
2008-05-16,72.75173950195312
2008-05-19,72.58122253417969
2008-05-20,72.87405395507812
2008-05-21,72.72166442871094
2008-05-22,72.56317138671875
2008-05-23,72.62167358398438
2008-05-26,72.53450775146484
2008-05-27,72.41474914550781
2008-05-28,72.25475311279297
2008-05-29,71.70723724365234
2008-05-30,71.96527099609375
2008-06-02,72.17550659179688
2008-06-03,71.6611557006836
2008-06-04,71.9481430053711
2008-06-05,71.71444702148438
2008-06-06,72.08729553222656
2008-06-09,71.5576171875
2008-06-10,71.34873962402344
2008-06-11,71.26319885253906
2008-06-12,71.19793701171875
2008-06-13,71.24056243896484
2008-06-16,71.37702941894531
2008-06-17,71.45332336425781
2008-06-18,71.54423522949219
2008-06-19,71.24760437011719
2008-06-20,71.58979797363281
2008-06-23,71.83783721923828
2008-06-24,71.87250518798828
2008-06-25,71.60326385498047
2008-06-26,71.92233276367188
2008-06-27,71.9579849243164
2008-06-30,71.96964263916016
2008-07-01,71.98265075683594
2008-07-02,71.90069580078125
2008-07-03,72.2220458984375
2008-07-04,72.33429718017578
2008-07-07,72.68045043945312
2008-07-08,72.82081604003906
2008-07-09,72.95030975341797
2008-07-10,73.25782012939453
2008-07-11,73.0203857421875
2008-07-14,73.1599349975586
2008-07-15,72.23242950439453
2008-07-16,72.10761260986328
2008-07-17,71.99857330322266
2008-07-18,71.40476989746094
2008-07-21,71.06385803222656
2008-07-22,70.95118713378906
2008-07-23,70.67237091064453
2008-07-24,71.11302947998047
2008-07-25,71.30319213867188
2008-07-28,71.37672424316406
2008-07-29,71.53838348388672
2008-07-30,71.87857818603516
2008-07-31,72.3232421875
2008-08-04,72.2506332397461
2008-08-05,72.34797668457031
2008-08-06,72.26362609863281
2008-08-07,72.84490203857422
2008-08-08,72.64556884765625
2008-08-11,72.62556457519531
2008-08-12,72.9760971069336
2008-08-13,73.25825500488281
2008-08-14,73.1632308959961
2008-08-15,73.30156707763672
2008-08-18,73.46998596191406
2008-08-19,73.64984130859375
2008-08-20,73.82958221435547
2008-08-21,73.54103088378906
2008-08-22,73.21699523925781
2008-08-25,73.52342224121094
2008-08-26,73.67547607421875
2008-08-27,73.2372055053711
2008-08-28,73.41065979003906
2008-08-29,73.56803131103516
2008-09-01,73.69013977050781
2008-09-02,73.48712158203125
2008-09-03,73.40322875976562
2008-09-04,73.76472473144531
2008-09-05,74.16801452636719
2008-09-08,74.01719665527344
2008-09-09,73.96261596679688
2008-09-10,73.82237243652344
2008-09-11,73.86802673339844
2008-09-12,73.6850814819336
2008-09-15,73.86674499511719
2008-09-16,74.26205444335938
2008-09-17,74.43576049804688
2008-09-18,74.5460433959961
2008-09-19,73.85275268554688
2008-09-22,73.51496124267578
2008-09-23,73.64697265625
2008-09-24,73.86921691894531
2008-09-25,73.60456848144531
