date,sp500_usd,smi_chf,usdchf,gold_usd,us_gov_bonds_usd,ch_gov_bonds_chf,ch_inflation
2008-02-29,-0.03476119273728817,-0.01779568232919526,-0.035625121820814565,0.053538487835006254,-0.004553442904449478,-0.011304447331399237,0.001
2008-03-31,-0.005959623397817415,-0.04109426746696421,-0.045768556221273626,-0.05750433575025282,0.0213880049081574,0.0032224803986549144,0.003
2008-04-30,0.047546697641229096,0.04217712491870773,0.04072396779826781,-0.05828424329031312,-0.02486232668928301,-0.014078619179020424,0.008
2008-05-31,0.01067418170406853,-0.002350935756740613,0.006183564574407052,0.028395920661369756,-0.026882714779917438,-0.0011216508260314395,0.008
2008-06-30,-0.08596238482631446,-0.0735944581412562,-0.019588946571708066,0.04384089366531008,0.0265359152805269,6.074656575183468e-05,0.002
2008-07-31,-0.009859371185302779,0.02625564976786232,0.02595493235135704,-0.013280055744827046,-0.0036744605068350644,0.004913176380668016,-0.004
2008-08-31,0.012190464669121548,0.013657387749553829,0.046205292391647834,-0.0925703406949071,0.02739366852304026,0.017211467377361345,-0.003
2008-09-30,-0.09079143354379215,-0.0806563129429192,0.022812277414001603,0.054142077746263784,0.014759933733211605,0.029009067887457718,0.001
2008-10-31,-0.16942452401777075,-0.07538519276422007,0.03443658377602987,-0.18005035714502649,-0.018606658972285306,-0.023598642873447928,0.005
2008-11-30,-0.0748490423387097,-0.05470475823483267,0.03303151124582082,0.1386719114213657,0.14341287627017651,0.07215017238871835,-0.007
2008-12-31,0.007821576633499472,-0.048494018458249855,-0.1293204782105669,0.08257775345611007,0.13652344657871973,0.00878564091307732,-0.005
2009-01-31,-0.08565734305805428,-0.044173577514109996,0.11276257278550927,0.04945678294983269,-0.13070779252416997,-0.025477859577695328,-0.008
2009-02-28,-0.10993119762019943,-0.1133032589374472,0.00809986255749906,0.015313288465395258,-0.01531912960923909,0.008524343642089427,0.002
2009-03-31,0.08540446199532292,0.05047472063683611,-0.0264979062205265,-0.020074375373406728,0.04047304991270306,0.0007337872774277887,-0.003
2009-04-30,0.09392507914826331,0.06057716404807789,0.0011414323075691346,-0.03457615892374899,-0.06951976665082882,0.0028687636216786494,0.009
2009-05-31,0.05308144638516654,0.023693495949240306,-0.06463784350168778,0.09891094013531898,-0.036949271885610036,-0.034515353896012124,0.002
2009-06-30,0.00019582726560973818,0.010136937139544333,0.018096675217544433,-0.05281979245178181,0.0075106005131928555,0.009678018031054503,0.002
2009-07-31,0.07414172714778422,0.1011700110893945,-0.01630141394419249,0.028691659283328175,0.005760269141211971,0.027386603832254774,-0.007
2009-08-31,0.03356018886854417,0.04477298908272265,-0.009362410534435983,-0.0020970954958590138,0.02230833362872464,0.005521508485855975,0.001
2009-09-30,0.03572334572311964,0.017059354909444657,-0.0222095888839845,0.05915728388235153,0.02458188024531016,0.006817102080716397,0.0
2009-10-31,-0.019762000526814205,-0.005917973095180162,-0.007829144262595067,0.0314483642578125,-0.02616088136286987,-0.0008464991900478669,0.006
2009-11-30,0.05736406145372763,-0.003946948537259742,-0.022795859111689243,0.13600079932165676,0.012128361290746348,0.021082517307003723,0.002
2009-12-31,0.017770570919338313,0.04551385205888492,0.031003802551584858,-0.07272883429825483,-0.06345640271622821,0.008848515424994652,-0.002
2010-01-31,-0.03697424569226215,-0.016069566934983848,0.025720367868219185,-0.011139473809162359,0.02692196491622001,-0.013247865426986416,-0.001
2010-02-28,0.028513689046546054,0.041962701455089846,0.01178360501357778,0.032594689591989745,-0.003425254720096804,0.007051154246336289,0.001
2010-03-31,0.058796425545497355,0.02419611370923458,-0.018298675858358315,-0.0044710719678850985,-0.020572892576081192,-0.003042188995256656,0.001
2010-04-30,0.014759230482012997,-0.037325255092436005,0.020822648836525515,0.060001728040995905,0.033218877950512926,0.009223293793122034,0.009
2010-05-31,-0.08197584207319053,-0.045976728193353744,0.07502781568488759,0.027201064528451724,0.05108308762229008,0.027956034646551498,-0.001
2010-06-30,-0.05388244223983851,-0.02923360203524006,-0.06788888411213201,0.027470755790686807,0.057978363582049885,0.011912099755874817,-0.004
2010-07-31,0.06877784957463517,0.011866679808485436,-0.034329243703464685,-0.051224447071959056,-0.00946364772716668,-0.014758476226575445,-0.007
2010-08-31,-0.04744918363260475,-0.003207604386324614,-0.015046049857843191,0.056359567071322614,0.0839088636395473,0.023272108720435725,0.0
2010-09-30,0.08755110305113556,0.018676912039005122,-0.047252118670183085,0.047664822296416,-0.025203638947239648,-0.01219948913329505,0.0
2010-10-31,0.03685599403554063,0.027936893422228604,0.013392035191333918,0.03769683813820657,-0.04469236211305028,-0.005645646903679968,0.005
2010-11-30,-0.002290249746576656,-0.024690068982364366,0.011436819516706054,0.02055856231374298,-0.016892516386073253,-0.003282390061043139,0.002
2010-12-31,0.06530004034715509,0.0195819771211887,-0.06652678934511103,0.02606496432197658,-0.0369908663004519,-0.010325140917458953,0.0
2011-01-31,0.022645574359139164,0.006698196875656759,0.007811684781291461,-0.061431235140101736,-0.03081200833990172,-0.02032545848593692,-0.004
2011-02-28,0.03195656372809341,0.020263466819159026,-0.014652819081992119,0.056605186111917005,0.016501297803828585,-0.001927922741495669,0.004
2011-03-31,-0.0010473129391664893,-0.0382561734105934,-0.010129257300413141,0.02100331693775992,0.00029346516717265736,-0.0024834392273263006,0.006
2011-04-30,0.028495380666536008,0.028651036361633908,-0.04974963259700471,0.08138159260482469,0.02339094954942489,-0.011064820558768895,0.001
2011-05-31,-0.01350095289522324,0.0022951764112608686,-0.025432452895328583,-0.012917722098931606,0.03422823021922272,0.025640746652335844,0.0
