trial_number,objective_value,state,w_sp500_usd,w_smi_chf,w_gold_usd,w_us_gov_bonds_usd,w_ch_gov_bonds_chf,alpha,withdraw_mult,survival_rate,penalized
0,0.04232334448672798,TrialState.COMPLETE,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.5986584841970366,0.15601864044243652,0.07799726016810132,1.0580836121681996,0.958,False
1,0.04849356442713105,TrialState.COMPLETE,0.8661761457749352,0.6011150117432088,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.41622132040021087,1.2123391106782762,0.992,False
2,-7419.999999999999,TrialState.COMPLETE,0.18182496720710062,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.43194501864211576,0.14561457009902096,1.6118528947223796,0.308,True
3,-7339.999999999999,TrialState.COMPLETE,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.45606998421703593,0.7851759613930136,0.09983689107917987,1.5142344384136117,0.316,True
4,-2749.999999999999,TrialState.COMPLETE,0.5924145688620425,0.046450412719997725,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.4744427686266666,1.9656320330745594,0.775,True
5,-4820.0,TrialState.COMPLETE,0.8083973481164611,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013,0.06101911742238941,1.4951769101112702,0.568,True
6,-6479.999999999999,TrialState.COMPLETE,0.034388521115218396,0.9093204020787821,0.2587799816000169,0.662522284353982,0.31171107608941095,0.2600340105889054,1.5467102793432796,0.402,True
7,-9150.0,TrialState.COMPLETE,0.18485445552552704,0.9695846277645586,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.29894998940554257,1.9218742350231168,0.135,True
8,-9939.999999999998,TrialState.COMPLETE,0.0884925020519195,0.1959828624191452,0.045227288910538066,0.32533033076326434,0.388677289689482,0.13567451588694796,1.8287375091519293,0.056,True
9,-10100.0,TrialState.COMPLETE,0.3567533266935893,0.28093450968738076,0.5426960831582485,0.14092422497476265,0.8021969807540397,0.03727532183988541,1.9868869366005173,0.04,True
10,0.043235505054953875,TrialState.COMPLETE,0.9788450993760263,0.6553338606116867,0.9695371107878658,0.017961875614819656,0.6518665507781785,0.4538323976412588,1.080887626373847,1.0,False
11,0.04273081880110045,TrialState.COMPLETE,0.9803988704329657,0.6268836449065679,0.9974654747659688,0.008747366968610617,0.6658025391601052,0.483276824082136,1.0682704700275112,1.0,False
12,0.049763643928445234,TrialState.COMPLETE,0.9937769627150279,0.6273953924159424,0.9945420872876019,0.004346227847912299,0.6333438268100833,0.3811321081835723,1.2440910982111308,0.992,False
13,0.04908556046603514,TrialState.COMPLETE,0.7638484848028104,0.5175719874601032,0.8026418292055586,0.2547702836260773,0.9802723947332174,0.369561503063886,1.2271390116508785,0.981,False
14,0.052284116395124876,TrialState.COMPLETE,0.6719471038986132,0.45654335665096274,0.8637314881466001,0.2799909752703046,0.6137045332645397,0.3560799255395057,1.307102909878122,0.967,False
15,-1060.0,TrialState.COMPLETE,0.6446736852680856,0.782789564847225,0.8760666147808331,0.3699213700740177,0.5827211356769999,0.3365022248217706,1.3126300970523743,0.944,True
16,-1269.999999999999,TrialState.COMPLETE,0.6475525262559314,0.4122287981551959,0.8917804126751319,0.17053447631565535,0.5795660494660647,0.23847380214298686,1.3739777057415845,0.923,True
17,-1829.9999999999995,TrialState.COMPLETE,0.47657260389680384,0.7668296112948,0.6242128096932905,0.8264347993597301,0.26790772930060874,0.38898795739490466,1.3551024899927868,0.867,True
18,-3899.999999999999,TrialState.COMPLETE,0.8924003565368006,0.44770429113037885,0.8817257166932266,0.28515314475763043,0.7388373905889896,0.2235551682096255,1.6665356393077189,0.66,True
19,0.0489140498436157,TrialState.COMPLETE,0.7257588856064701,0.7577570452014978,0.444824304257932,0.42665607612789896,0.5321851026757418,0.3214237152952776,1.2228512460903924,0.951,False
20,-1199.999999999999,TrialState.COMPLETE,0.4615957957300406,0.5209515249367933,0.9982800460587429,0.12342964406172471,0.6821163222006352,0.4318194431027857,1.4460896121723024,0.93,True
21,0.04805454483691531,TrialState.COMPLETE,0.7581579830002555,0.4989412784340514,0.8154172771819813,0.25679734911864766,0.9956199842234913,0.3742927821503161,1.2013636209228828,0.986,False
22,0.051109033347806636,TrialState.COMPLETE,0.8785202143758504,0.4102204225893098,0.825538311159266,0.20418298636039545,0.8766012324747309,0.36121646941047825,1.2777258336951658,0.976,False
23,0.052038065929609044,TrialState.COMPLETE,0.905172946076988,0.37435935130908793,0.9201932431649039,0.09876740473920764,0.8644443235783631,0.28785397319792966,1.3009516482402261,0.969,False
24,-1449.9999999999993,TrialState.COMPLETE,0.8970606384316134,0.3783941884327071,0.6846114912437019,0.20462666791991596,0.8741516408421189,0.2798492761532073,1.4048640049784293,0.905,True
25,0.04600359311704244,TrialState.COMPLETE,0.5835131095669951,0.3472017688696369,0.878627006583033,0.09690571129729687,0.8475258937155363,0.19672780502868437,1.150089827926061,0.986,False
26,0.05172528034365386,TrialState.COMPLETE,0.832921971827074,0.17318692244855394,0.6077167071157556,0.38008237690254965,0.7262497264050469,0.31102248697339796,1.2931320085913465,0.953,False
27,0.045918980798596215,TrialState.COMPLETE,0.6966137706197875,0.018312198090511433,0.4615864932464881,0.38016485257783333,0.7251615496994139,0.180871936246151,1.1479745199649054,0.969,False
28,-1090.0,TrialState.COMPLETE,0.8073236688556528,0.14814548732485305,0.6375050588583435,0.4922119630400727,0.7685144760735618,0.31536760014376,1.319250721232626,0.941,True
